ID,Designator,Qty,Supplier,Supplier Part #,Description / Value,Package,Type
1,U1,1,Microchip Technology,MCP1703AT-3302E/CB,"LDO Voltage Regulators LOW Iq, High Vin LDO 3.3V, SOT-23A",SOT-23-3,SMD
2,U2,1,Microchip Technology,ATMEGA328P-AU,8-bit Microcontrollers - MCU 32KB In-system Flash 20MHz 1.8V-5.5V,TQFP-32,SMD
3,U3,1,FTDI,FT232RL-TUBE,USB Interface IC USB to Serial UART Enhanced IC SSOP-28,SSOP-28,SMD
4,IC1,1,NXP,"PCF8523T/1,118",Real Time Clock REAL-TIME CLOCK RTC IC,SOIC-8,SMD
5,"C1,C3,C4,",3,Taiyo Yuden,UMF212B7105KGHT,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 50V 1uF 10% AEC-Q200,0805,SMD
6,"C2,C5,C8,C9,C11,C13",6,Taiyo Yuden,UMF212B7104KGHT,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 50V 0.1uF 10% AEC-Q200,0805,SMD
7,"C6,C7",2,KEMET,C0805X200J5GACAUTO,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 20pF C0G 0805 5% Flex AEC-Q200,0805,SMD
8,"C10,C12",2,Taiyo Yuden,TMK212BBJ106MGHT,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 25VDC 10uF 20% X5R AEC-Q200,0805,SMD
9,"R1,R8,R9",3,Vishay / Dale,CRCW08051K00JNEAC,Thick Film Resistors - SMD 1/8Watt 1Kohms 5% Commercial Use,0805,SMD
10,"R2,R3,R4,R5,R6,R7",6,Vishay / Dale,CRCW080510K0JNEAC,Thick Film Resistors - SMD 1/8Watt 10Kohms 5% Commercial Use,0805,SMD
11,D1,1,Broadcom / Avago,HLMP-Y502-F0000,Standard LEDs - Through Hole GaP Green,3 mm Standard,Thru-Hole
12,D2,1,Broadcom / Avago,HLMP-Y601-J0000,Standard LEDs - Through Hole AllnGap Red,3 mm Standard,Thru-Hole
13,D3,1,Broadcom / Avago,HLMP-NS30-J0000,Standard LEDs - Through Hole Blue nGaN 470nmBlue,3 mm Standard,Thru-Hole
14,"SW1,SW2",2,E-Switch,TL1105EF100Q,Tactile Switches 6.0X7.3MM 100G,--,Thru-Hole
15,SW3,1,Apem,NDI02H,DIP Switches / SIP Switches 2pos 0.025A 24VDC 1/2 Pitch,2-Pos DIP,Thru-Hole
16,J1,1,SparkFun,PRT-12769,SparkFun Accessories SD/MMC Socket,--,SMD
17,J2,1,Phoenix Contact,1725656,Fixed Terminal Blocks 2P 2.54mm 90DEG,--,Thru-Hole
18,J3,1,Phoenix Contact,1725685,Fixed Terminal Blocks 5P 2.54mm 90DEG,--,Thru-Hole
19,J4,1,Molex,105017-0001,USB Connectors MICRO USB B RECPT BTTM MNT SMT TH TABS,--,SMD/Thru-Hole
20,J5,1,SparkFun,PRT-12807,"SparkFun Accessories Header - 2x3 (Male, 0.1\"")",--,Thru-Hole
21,J6,1,Keystone Electronics,2895,Coin Cell Battery Holders CR1220 COIN CELL THM RETAINER,--,Thru-Hole
22,Y1,1,Abracon,ABM3-8.000MHZ-B4Y-T,Crystals 8MHz 18pF 30ppm -20C +70C,5 mm x 3.2 mm,SMD
23,Y2,1,TXC Corporation,9HT11-32.768KDZY-T,Crystals 32.768kHz 7pF 20ppm -40C +85C,2 mm x 1.2 mm,SMD
